#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
1229 VMOVDQA                        1                0
1232 VMOVDQU                      222                0
1312 VPBROADCASTB                  62                0
1322 VPCMPEQB                     520                0
1468 VPMOVMSKB                    515                0
1512 VPOR                           5                0
1608 VPXOR                        386                0
1704 VZEROUPPER                   444                0
1719 XCHG                         588                0
1721 XGETBV                         1                0
1723 XOR                        11719                0
1728 XRSTOR                        16                0
1734 XSAVEC                        16                0
3000 *total                    713336             4587
3001 *mem-atomic                   19                0
3002 *stack-read                70635                0
3003 *stack-write               56824                0
3004 *iprel-read                 9749                0
3005 *iprel-write                 892                0
3007 *mem-read-1                35206                0
3008 *mem-read-2                 5192                0
3010 *mem-read-4                27252                0
3014 *mem-read-8               109073                0
3022 *mem-read-16                1821                0
3038 *mem-read-32                 517                0
3519 *mem-write-1                2965                0
3520 *mem-write-2                 113                0
3522 *mem-write-4                6759                0
3526 *mem-write-8               59870                0
3534 *mem-write-16               1592                0
3550 *mem-write-32                  4                0
3582 *mem-write-64                 16                0
4094 LAST                          16                0
# $eof
